trailID,trailName,trailState,trailRegion
1,Sougahoagdee Falls,Alabama,William B Bankhead National Forest
2,Alum Hollow Trail,Alabama,Green Mountain Preserve
3,Little River Canyon,Alabama,Little River Canyon National Preserve
4,Overlook Trail via Quarry Trail,Alabama,Ruffner Mountain Nature Preserve
5,Pulpit Rock Trail,Alabama,Cheaha State Park
6,Cave Creek Trail from Cheaha Trailhead,Alabama,Cheaha State Park
7,Cane Creek Canyon Nature Preserve,Alabama,Cane Creek Canyon Nature Preserve
8,Chinnabee Silent Trail,Alabama,Cheaha Wilderness
9,Borden Creek Hiking Trail,Alabama,Sipsey Wilderness
10,Kings Chair Loop,Alabama,Oak Mountain State Park
11,Walls of Jericho Trail,Alabama,"Scottsboro, Alabama"
12,Skyway Loop Trail,Alabama,Talladega National Forest
13,Big Tree Short Cut Loop and Needles Eye,Alabama,Sipsey Wilderness
14,James M. Scott Deadening Alpine Trail,Alabama,"Dadeville, Alabama"
15,Monte Sano State Park,Alabama,Monte Sano State Park
16,Winner Creek Trail,Alaska,Chugach National Forest
17,Thunderbird Falls Trail,Alaska,Chugach National Forest
18,Bryson Glacier Trail,Alaska,Chugach State Park
19,Exit Glacier Trail,Alaska,Kenai Fjords National Park
20,Horseshoe Lake Trail,Alaska,Denali National Park
21,Flattop Mountain Trail,Alaska,Chugach State Park
22,Mount Baldy via Blacktail Rocks Trail,Alaska,Chugach State Park
23,Rabbit Lake Trail,Alaska,Chugach State Park
24,South Fork Eagle River Trail,Alaska,Chugach National Forest
25,Portage Pass Trail,Alaska,Chugach National Forest
26,Harding Ice Field Trail,Alaska,Kenai Fjords National Park
27,Reed Lakes Trail,Alaska,"Sutton, Alaska"
28,Mount Healy Overlook Trail,Alaska,Denali National Park
29,Wolverine Peak Trail,Alaska,Chugach State Park
30,Bird Ridge Trail,Alaska,Chugach State Park
31,West Fork Trail Oak Creek,Arizona,Red Rock Secret Mountain Wilderness
32,Horseshoe Bend Trail,Arizona,Glen Canyon National Recreation Area
33,Grand Canyon Rim: Mules to Mather Point,Arizona,Grand Canyon National Park
34,Seven Sacred Pools via Soldier Pass Trail,Arizona,Sedona
35,Teacup Trail to Coffeepot Rock,Arizona,Coconino National Forest
36,Centerpoint to Goat Trail,Arkansas,Buffalo National River
37,Eagle Rock Loop,Arkansas,Ouachita National Forest
38,Hemmed in Hollow Trail,Arkansas,Buffalo National River
39,Pinnacle Mountain West Summit Trail,Arkansas,Pinnacle Mountain State Park
40,Indian Creek Trail,Arkansas,Buffalo National River
41,Eaton Canyon Trail,California,Eaton Canyon Natural Area Park
42,Lower Yosemite Falls Trail,California,Yosemite National Park
43,Hidden Falls Trail,California,Hidden Falls Regional Park
44,Escondido Falls Trail,California,Escondido Canyon Park
45,Torry Pines Beach Trail Loop,California,Torry Pines State Natural Reserve
46,Bridge to Nowhere via East Fork Trail,California,Angeles National Forest
47,Alamere Falls via Coast Trail from Palomarin Trailhead,California,Point Reyes National Seashore
48,Iron Mountain Trail,California,"Poway, California"
49,Vernal Falls,California,Y?osemite National Park
50,Solstice Canyon Loop,California,Santa Monica Mountains National Recreation Area
51,Vernal and Nevada Falls via the Mist Trail,California,Yosemite National Park
52,Potato Chip Rock via Mt. Woodson Trail,California,Lake Poway Park
53,Mission Peak Loop from Stanford Avenue,California,Mission Peak Regional Preserve
54,Mount Tallac Trail,California,Desolation Wilderness
55,Upper Yosemite Falls Trail,California,Yosemite National Park
56,Red Rocks Trading Post Trail,Colorado,Red Rocks Park
57,Forsynthe Canyon to Waterfall and Gross Reservoir,Colorado,Roosevelt National Forest
58,"Palmer, Buckskin-Charlie, Niobrara and Bretag Trail Loop",Colorado,Garden of the Gods
59,Lily Pad Lake Trail,Colorado,Eagles Nest Wilderness
60,Mount Cutler Trail,Colorado,North Cheyenne Cañon Park
61,Chavez and Beaver Brook Trail Loop,Colorado,Genesee Park
62,Lost Lake via Hessie Trail,Colorado,Roosevelt National Forest
63,Herman Gulch Trail,Colorado,Arapaho National Forest
64,Maxwell Falls Lower Trail,Colorado,Arapaho National Forest
65,Lake Isabell via Pawnee Pass Trail,Colorado,Brainard Lake Recreation Area
66,Mount Bierstadt Trail,Colorado,Mount Evans Wilderness
67,Royal Arch Trail,Colorado,Boulder Open Space
68,Quandary Peak Trail,Colorado,White River National Forest
69,Shark Valley Trail,Florida,Everglades National Park
70,Banyard Trail and Seminole Trail,Florida,Hillsborough River State Park
71,Pine Island East Loop Trail,Florida,Shingle Creek
72,Santos and Vortex Area Bike Trails Loop,Florida,Marjorie Harris Carr Cross Florida Greenway
73,Split Oak Forest Green Trail,Florida,Split Oak Forest Wildlift And Environmental Area
74,Little Talbot Island Hiking Trail,Florida,Little Talbot Island State Park
75,St. Francis Trail,Florida,Ocala National Forest
76,"Little Big River, Digbat, Ditch of Doom and Flagler Trail",Florida,Little Big Econ State Forest
77,Florida Trail: Ocala National Forest,Florida,Ocala National Forest
78,Florida Trail - Eglin East,Florida,Eglin Air Force Base
79,Judd Trail,Hawaii,Round Top Forest Reserve
80,Kuliouou Ridge Trail,Hawaii,Kuliouou forest Reserve
81,Aiea Loop Trail,Hawaii,Keaiwa Heiau State Recreation Area
82,Kaiwa Ridge (Lanikai Pillbox) Trail,Hawaii,Kailua Beach Park
83,Falls Canyon Trail,Indiana,McCormicks Creek State Park
84,Knobstone Trail: Dream Lake to Bartle Knob Road,Indiana,Dream Lake State Recreation Area
85,Knobstone Trail,Indiana,Jackson Washington State Park
86,Maquoketa Caves Loop,Iowa,Maquoketa Caves State Park
87,Cedar Cliff Trail,Iowa,Palisades-Kepler State Park
88,Blue Heron Lake Loop Trail,Iowa,Raccoon River Park
89,The Chute and Heritage Trail Loop,Iowa,Hitchcock Nature Area
90,High Trestle Trail,Iowa,Big Creek State Park
91,Wildcat Den Trail,Iowa,Wildcat Den State Park
92,"Squire Shore, Weasel Run, Mushroom Forest Trail",Iowa,coralville Dam Recreation Area
93,Turkey Creek Streamway Trail,Kansas,Antioch Park
94,Indian Creek Bike and Hike Trail,Kansas,"Olathe, Kansas"
95,Tomahawk Creek Trail,Kansas,"Leawood, Kansas"
96,Horse Thief Trail,Kansas,Kanopolis Lake State Park
97,Konza Godwin Hill Loop Trail,Kansas,Konza Prairie Natural Area
98,Elk River Hiking Trail,Kansas,Elk City State Park
99,Konza Prairie Kings Creek Loop Trail,Kansas,Konza Prairie Natural Area
100,"Shawnee Mission Park Orange, Violet, and Red Trail",Kansas,Shawnee Mission Park
101,Gary L. Haller National Recreation Trail,Kansas,Mill Creek Streamway Park
102,Wyandotte County Lake Loop Trail,Kansas,Wyandotte County Lake Park
103,Sky Bridge Red River Gorge,Kentucky,Daniel Boone National Forest
104,Original Natural Bridge Trail,Kentucky,Natural Bridge State Park
105,Chimney Top Trail,Kentucky,Daniel Boone National Forest
106,Princess Falls via Sheltowee Trace Trail,Kentucky,Daniel Boone National Forest
