trailID,trailDifficulty,trailType,trailRating
1,Easy,Out and back,4.6
2,Easy,Out and back,4.6
3,Easy,Loop,4.4
4,Easy,Out and back,4.6
5,Easy,Out and back,4.6
6,Intermediate,Loop,4.5
7,Intermediate,Loop,4.9
8,Intermediate,Out and back,4.5
9,Intermediate,Out and back,4.3
10,Intermediate,Loop,4.8
11,Advanced,Out and back,4.5
12,Advanced,Loop,4.1
13,Advanced,Loop,4.6
14,Advanced,Loop,4.8
15,Advanced,Loop,4.3
16,Easy,Out and back,4.7
17,Easy,Out and back,4.3
18,Easy,Out and back,4.6
19,Easy,Loop,4.9
20,Easy,Loop,4.9
21,Intermediate,Loop,4.3
22,Intermediate,Loop,4.6
23,Intermediate,Out and back,4.3
24,Intermediate,Out and back,4.7
25,Intermediate,Out and back,4.9
26,Advanced,Out and back,5.0
27,Advanced,Out and back,4.9
28,Advanced,Out and back,4.7
29,Advanced,Out and back,4.8
30,Advanced,Out and back,4.7
31,Easy,Out and back,4.7
32,Easy,Out and back,4.7
33,Easy,Out and back,4.8
34,Easy,Out and back,4.6
35,Easy,Out and back,4.7
36,Advanced,Out and back,4.8
37,Intermediate,Loop,4.6
38,Advanced,Out and back,4.6
39,Advanced,Loop,4.6
40,Advanced,Out and back,4.6
41,Advanced,Out and back,4.9
42,Advanced,Out and back,4.2
43,Easy,Out and back,4.2
44,Easy,Loop,4.2
45,Easy,Loop,4.4
46,Easy,Out and back,3.8
47,Easy,Loop,4.8
48,Intermediate,Out and back,4.7
49,Intermediate,Out and back,4.1
50,Intermediate,Out and back,4.7
51,Intermediate,Out and back,4.7
52,Intermediate,Loop,4.5
53,Advanced,Loop,4.9
54,Advanced,Out and back,4.6
55,Advanced,Loop,4.7
56,Advanced,Out and back,4.9
57,Advanced,Out and back,4.6
58,Easy,Loop,4.5
59,Easy,Out and back,4.5
60,Easy,Loop,4.5
61,Easy,Out and back,4.4
62,Easy,Out and back,4.9
63,Intermediate,Loop,4.1
64,Intermediate,Out and back,4.4
65,Intermediate,Out and back,4.7
66,Intermediate,Loop,4.4
67,Intermediate,Out and back,4.9
68,Advanced,Out and back,4.6
69,Advanced,Out and back,4.6
70,Advanced,Out and back,5.0
71,Easy,Loop,4.4
72,Easy,Loop,4.8
73,Easy,Loop,4.5
74,Intermediate,Loop,3.3
75,Intermediate,Loop,4.8
76,Intermediate,Loop,4.3
77,Intermediate,Loop,4.4
78,Intermediate,Loop,3.2
79,Advanced,Loop,4.6
80,Advanced,Point to point,4.2
81,Advanced,Point to point,4.6
